CustomerID,Age,Gender,Segment,NPS,account_age_days,age_group,nps_category,total_purchase_value,total_frequency,product_diversity,Plan,subscription_duration_days,subscription_age_days,is_active,last_interaction_date,total_interactions,total_late_payments,payment_count,late_payment_rate,payment_risk_score,PageViews,TimeSpent(minutes),engagement_ratio,engagement_intensity,total_actions,add_to_cart_count,search_count,click_count,unique_pages,cart_conversion_rate,search_intensity,page_diversity,Logins,frequency_score,engagement_score,avg_rating,avg_comment_length,sentiment_score,is_negative,is_positive,emails_sent,emails_opened,emails_clicked,open_rate,click_rate,click_through_rate,marketing_engagement,ChurnLabel,Recency,Frequency,Monetary,r_score,f_score,m_score,rfm_score,rfm_segment,Gender_Female,Gender_Male,Segment_Segment A,Segment_Segment B,Segment_Segment C,nps_category_Detractor,nps_category_Passive,nps_category_Promoter,days_since_last_interaction
1001,31,Male,Segment B,3,1069,0,Detractor,3994.72,38,7,2689.6225463743676,871,937,0,2021-07-25,4,40,3,10.0,400.0,49,15,0.3,735,24,8,12,4,13,0.32,0.48,0.52,19,4,76,1.0,96.0,0.2,1,0,8,8,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7901234567901234,1,523,722,3994.72,1,4,4,9,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,523
1002,66,Female,Segment C,6,1455,2,Detractor,2844.35,4,3,2828.649426229508,290,529,0,2022-12-13,19,10,3,2.5,25.0,100,9,0.0891089108910891,900,24,8,7,9,13,0.32,0.28,0.52,9,4,36,2.0,108.0,0.4,1,0,9,9,9,0.9,0.9,0.9,0.81,0,17,36,2844.35,5,1,3,9,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17
1003,36,Female,Segment B,3,1341,1,Detractor,1866.52,14,3,2790.271692073171,319,1184,0,2022-01-04,3,8,3,2.0,16.0,1,97,48.5,97,12,2,7,3,7,0.15384615384615385,0.5384615384615384,0.5384615384615384,19,1,19,4.0,72.0,0.8,0,1,8,8,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7901234567901234,0,360,266,1866.52,1,3,2,6,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,360
1004,62,Female,Segment C,1,1033,2,Detractor,1378.6399999999999,28,5,2905.6960032626425,803,1083,0,2022-11-10,59,79,3,19.75,1560.25,25,31,1.1923076923076923,775,47,15,16,16,14,0.3125,0.3333333333333333,0.2916666666666667,4,30,120,1.0,78.0,0.2,1,0,10,10,10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8264462809917354,1,50,112,1378.6399999999999,3,2,2,7,4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50
1005,68,Female,Segment C,3,1366,2,Detractor,2425.05,39,6,2714.759176470588,580,633,0,2022-12-19,10,2,3,0.5,1.0,77,51,0.6538461538461539,3927,30,17,4,9,12,0.5483870967741935,0.12903225806451613,0.3870967741935484,12,4,48,3.0,99.0,0.6,0,0,7,7,7,0.875,0.875,0.875,0.765625,0,11,468,2425.05,5,3,3,11,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11
1006,65,Female,Segment A,2,1011,2,Detractor,1303.16,10,2,2832.731828298887,106,322,0,2022-12-26,54,73,3,18.25,1332.25,40,17,0.4146341463414634,680,45,16,13,16,13,0.34782608695652173,0.2826086956521739,0.2826086956521739,23,30,690,2.0,79.0,0.4,1,0,7,7,7,0.875,0.875,0.875,0.765625,1,4,230,1303.16,5,2,2,9,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4
1007,52,Female,Segment B,1,766,2,Detractor,5860.08,32,9,2850.765112903226,435,721,0,2022-12-27,57,50,3,12.5,625.0,23,25,1.0416666666666667,575,40,13,8,19,14,0.3170731707317073,0.1951219512195122,0.34146341463414637,15,4,60,5.0,134.0,1.0,0,1,5,5,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6944444444444445,1,3,480,5860.08,5,4,5,14,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
1008,48,Male,Segment B,1,748,1,Detractor,4052.4700000000003,63,8,2859.17713622291,237,652,0,2022-10-24,24,91,3,22.75,2070.25,35,33,0.9166666666666666,1155,6,2,3,1,6,0.2857142857142857,0.42857142857142855,0.8571428571428571,6,4,24,2.0,28.0,0.4,1,0,8,8,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7901234567901234,1,67,378,4052.4700000000003,3,3,4,10,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,67
1009,66,Female,Segment C,6,364,2,Detractor,6054.65,41,10,2816.218536977492,524,977,0,2022-07-14,14,12,3,3.0,36.0,75,8,0.10526315789473684,600,42,13,15,14,13,0.3023255813953488,0.3488372093023256,0.3023255813953488,26,30,780,1.0,78.0,0.2,1,0,5,5,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6944444444444445,0,169,1066,6054.65,2,5,5,12,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,169
1010,67,Female,Segment B,5,369,2,Detractor,2024.55,15,3,2722.5928129829986,1120,1204,0,2019-11-08,1,6,3,1.5,9.0,65,47,0.7121212121212122,3055,36,13,12,11,13,0.35135135135135137,0.32432432432432434,0.35135135135135137,22,4,88,1.0,143.0,0.2,1,0,3,3,3,0.75,0.75,0.75,0.5625,0,1148,330,2024.55,1,3,2,6,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1148
